path,x1,y1,x2,y2
15692.png,39,22,183,205
12971.png,44,31,184,202
02996.png,78,30,389,422
11956.png,105,50,507,527
13658.png,38,21,180,195
06563.png,96,56,437,481
12364.png,40,25,188,202
21068.png,84,28,427,438
05385.png,109,54,445,470
02761.png,137,79,552,617
02290.png,44,33,213,224
15419.png,38,25,180,196
09089.png,109,76,431,473
19998.png,45,18,174,194
10566.png,88,44,411,460
07142.png,-1,-1,-1,-1
08418.png,76,49,413,456
04554.png,245,216,552,579
14079.png,45,28,174,184
03866.png,50,30,258,304
10281.png,30,25,168,185
02203.png,79,53,338,369
04718.png,94,59,358,387
00429.png,76,23,357,382
14249.png,72,48,380,451
16026.png,41,23,180,191
12445.png,109,92,463,503
19843.png,39,18,183,200
18478.png,48,26,173,194
15330.png,121,93,550,637
04754.png,71,39,331,381
14632.png,135,69,595,676
12815.png,98,52,364,382
06237.png,62,44,215,225
21522.png,64,26,265,276
21911.png,38,21,221,256
04068.png,31,18,188,225
00962.png,92,40,415,454
10464.png,35,18,183,205
02196.png,119,57,544,589
13986.png,40,25,175,195
07207.png,42,42,201,234
00862.png,93,58,403,447
07250.png,97,86,448,493
00354.png,89,31,399,438
12565.png,40,34,186,218
20060.png,52,20,194,216
05168.png,93,83,451,498
10192.png,47,29,185,190
18689.png,50,35,180,199
04746.png,57,40,212,223
16196.png,55,30,232,244
09768.png,30,12,156,164
08440.png,71,29,267,277
16660.png,53,26,183,198
15289.png,44,37,186,204
00764.png,66,55,278,310
09938.png,109,56,399,428
21313.png,85,56,478,535
11478.png,37,29,179,200
21494.png,44,19,187,206
00046.png,0,109,1079,1079
15334.png,-1,-1,-1,-1
12905.png,142,51,561,638
09263.png,89,42,371,422
18233.png,44,26,177,193
11917.png,43,8,184,190
20364.png,65,40,214,242
13553.png,29,3,190,205
18944.png,60,26,242,268
01737.png,58,26,237,266
08666.png,45,29,211,225
06238.png,74,57,375,400
09900.png,-1,-1,-1,-1
19708.png,108,39,384,430
08975.png,76,51,307,342
04042.png,75,29,345,367
11642.png,32,14,180,191
10006.png,45,20,181,193
09840.png,38,22,175,188
06320.png,84,59,324,369
14742.png,105,39,476,531
08551.png,95,52,348,374
13534.png,91,30,434,449
20271.png,-1,-1,-1,-1
08574.png,47,9,223,240
17431.png,46,25,183,199
21723.png,68,35,493,569
02154.png,-1,-1,-1,-1
02703.png,30,12,179,193
00095.png,91,47,413,432
16916.png,54,24,274,289
08182.png,60,64,185,218
04781.png,51,26,245,265
01621.png,68,20,433,481
18634.png,31,14,165,185
07336.png,123,62,598,659
21093.png,43,27,187,196
03217.png,43,24,157,165
15510.png,66,42,356,386
18113.png,86,36,330,342
09650.png,188,87,888,935
20859.png,48,25,188,197
04839.png,74,30,306,350
05884.png,40,24,215,238
14999.png,42,28,183,208
08978.png,100,36,392,422
08705.png,235,92,1018,1102
16030.png,130,123,466,512
22259.png,136,91,504,581
16471.png,104,35,477,533
16176.png,32,16,181,204
15059.png,-1,-1,-1,-1
12759.png,41,24,181,197
08779.png,110,58,409,438
05786.png,101,81,417,455
20523.png,51,12,188,192
04790.png,-1,-1,-1,-1
04789.png,18,38,208,255
21389.png,40,22,184,204
08859.png,50,32,205,227
16002.png,40,17,190,206
15876.png,71,27,411,431
21085.png,-1,-1,-1,-1
