path,label_original,resolution,height,width,class,category,type,label,abs_path,max_live_sim,paired_live_path
Data-train/21528.png,0_0_0,194x194,194,194,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21528.png,,
Data-train/21529.png,0_0_0,431x431,431,431,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21529.png,,
Data-train/21531.png,0_0_0,221x221,221,221,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21531.png,,
Data-train/21532.png,0_0_0,267x267,267,267,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21532.png,,
Data-train/21533.png,0_0_0,484x484,484,484,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21533.png,,
Data-train/21534.png,0_0_0,749x749,749,749,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21534.png,,
Data-train/21535.png,0_0_0,493x493,493,493,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21535.png,,
Data-train/21536.png,0_0_0,501x501,501,501,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21536.png,,
Data-train/21537.png,0_0_0,573x573,573,573,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21537.png,,
Data-train/21540.png,0_0_0,472x472,472,472,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21540.png,,
Data-train/21541.png,0_0_0,233x233,233,233,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21541.png,,
Data-train/21542.png,0_0_0,564x564,564,564,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21542.png,,
Data-train/21543.png,0_0_0,319x319,319,319,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21543.png,,
Data-train/21544.png,0_0_0,1216x1216,1216,1216,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21544.png,,
Data-train/21545.png,0_0_0,1272x1272,1272,1272,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21545.png,,
Data-train/21546.png,0_0_0,634x634,634,634,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21546.png,,
Data-train/21549.png,0_0_0,181x181,181,181,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21549.png,,
Data-train/21550.png,0_0_0,477x477,477,477,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21550.png,,
Data-train/21551.png,0_0_0,175x175,175,175,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21551.png,,
Data-train/21552.png,0_0_0,591x591,591,591,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21552.png,,
Data-train/21553.png,0_0_0,424x424,424,424,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21553.png,,
Data-train/21554.png,0_0_0,217x217,217,217,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21554.png,,
Data-train/21555.png,0_0_0,430x430,430,430,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21555.png,,
Data-train/21556.png,0_0_0,271x271,271,271,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21556.png,,
Data-train/21557.png,0_0_0,1218x1218,1218,1218,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21557.png,,
Data-train/21558.png,0_0_0,245x245,245,245,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21558.png,,
Data-train/21559.png,0_0_0,598x598,598,598,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21559.png,,
Data-train/21560.png,0_0_0,698x698,698,698,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21560.png,,
Data-train/21561.png,0_0_0,345x345,345,345,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21561.png,,
Data-train/21562.png,0_0_0,323x323,323,323,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21562.png,,
Data-train/21563.png,0_0_0,627x627,627,627,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21563.png,,
Data-train/21564.png,0_0_0,197x197,197,197,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21564.png,,
Data-train/21565.png,0_0_0,735x735,735,735,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21565.png,,
Data-train/21567.png,0_0_0,436x436,436,436,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21567.png,,
Data-train/21568.png,0_0_0,249x249,249,249,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21568.png,,
Data-train/21569.png,0_0_0,494x494,494,494,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21569.png,,
Data-train/21570.png,0_0_0,375x375,375,375,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21570.png,,
Data-train/21571.png,0_0_0,437x437,437,437,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21571.png,,
Data-train/21572.png,0_0_0,981x981,981,981,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21572.png,,
Data-train/21573.png,0_0_0,189x189,189,189,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21573.png,,
Data-train/21574.png,0_0_0,201x201,201,201,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21574.png,,
Data-train/21575.png,0_0_0,785x785,785,785,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21575.png,,
Data-train/21576.png,0_0_0,230x230,230,230,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21576.png,,
Data-train/21580.png,0_0_0,371x371,371,371,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21580.png,,
Data-train/21581.png,0_0_0,565x565,565,565,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21581.png,,
Data-train/21582.png,0_0_0,467x467,467,467,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21582.png,,
Data-train/21583.png,0_0_0,600x600,600,600,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21583.png,,
Data-train/21584.png,0_0_0,546x546,546,546,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21584.png,,
Data-train/21585.png,0_0_0,652x652,652,652,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21585.png,,
Data-train/21586.png,0_0_0,528x528,528,528,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21586.png,,
Data-train/21587.png,0_0_0,427x427,427,427,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21587.png,,
Data-train/21588.png,0_0_0,636x636,636,636,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21588.png,,
Data-train/21589.png,0_0_0,727x727,727,727,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21589.png,,
Data-train/21590.png,0_0_0,1080x1080,1080,1080,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21590.png,,
Data-train/21591.png,0_0_0,516x516,516,516,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21591.png,,
Data-train/21593.png,0_0_0,442x442,442,442,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21593.png,,
Data-train/21594.png,0_0_0,569x569,569,569,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21594.png,,
Data-train/21595.png,0_0_0,374x374,374,374,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21595.png,,
Data-train/21596.png,0_0_0,669x669,669,669,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21596.png,,
Data-train/21597.png,0_0_0,748x748,748,748,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21597.png,,
Data-train/21598.png,0_0_0,479x479,479,479,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21598.png,,
Data-train/21599.png,0_0_0,1229x1229,1229,1229,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21599.png,,
Data-train/21600.png,0_0_0,779x779,779,779,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21600.png,,
Data-train/21601.png,0_0_0,293x293,293,293,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21601.png,,
Data-train/21602.png,0_0_0,329x329,329,329,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21602.png,,
Data-train/21603.png,0_0_0,728x728,728,728,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21603.png,,
Data-train/21604.png,0_0_0,709x709,709,709,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21604.png,,
Data-train/21605.png,0_0_0,673x673,673,673,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21605.png,,
Data-train/21606.png,0_0_0,608x608,608,608,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21606.png,,
Data-train/21607.png,0_0_0,230x230,230,230,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21607.png,,
Data-train/21608.png,0_0_0,488x488,488,488,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21608.png,,
Data-train/21609.png,0_0_0,641x641,641,641,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21609.png,,
Data-train/21610.png,0_0_0,660x660,660,660,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21610.png,,
Data-train/21611.png,0_0_0,303x303,303,303,Live Face,Live Face,Live Face,0,/workspace/data/Data-train/21611.png,,
